AACS	FOCAD
CEP135	PLOD1
CEP135	DTL
LCORL	CDK1
LCORL	CLASP1
CDK1	C11ORF54
ODF2	GNG11
ODF2	SLC15A4
ACOX1	CCDC175
ACOX1	COIL
ACOX1	LDOC1L
CCDC175	DUSP14
CCDC175	MANSC1
CCDC175	QRSL1
DUSP14	FOXN2
DUSP14	SNX7
COIL	GMPR2
COIL	PPP2R5A
LDOC1L	CENPN
LDOC1L	PHF11
MANSC1	FAHD2A
SERPINH1	PPP2R5A
SERPINH1	EBAG9
SERPINH1	PIK3R2
PPP2R5A	ARNT2
ARNT2	TAF2
ARNT2	ANKS1B
CDC27	PIK3R2
CDC27	TEX9
ACOX3	MRPS15
ACOX3	MRPL1
MRPS15	PDE4DIP
MRPL1	KIAA1009
MRPL1	KIAA1219
PDE4DIP	PIK3C2A
PDE4DIP	AGPAT1
PDE4DIP	SMYD3
ALG14	FZD8
KIAA1009	AZIN1
KIAA1219	GDAP2
PIK3C2A	RSU1
PIK3C2A	MRPL30
ACP6	CLTA
ACP6	KIAA0922
CLTA	FGD1
FGD1	RIC8B
FGD1	BRWD3
RIC8B	ACSF3
RIC8B	LRRC57
ACSF3	COX10
ACSF3	EFNB3
COX10	IMP4
COX10	PAK1
COX10	SLC35A3
EFNB3	KRCC1
KRCC1	NFYC
LRRC57	PLXNC1
LRRC57	AGL
SFT2D2	DZIP3
SFT2D2	JAM3
DZIP3	CRY1
DZIP3	PTPN11
PLXNC1	PET117
PLXNC1	KIAA0141
CRY1	MEN1
CRY1	STK17A
JAM3	CASP2
ACTG1	EXOSC10
EXOSC10	HYDIN
HYDIN	F2R
HYDIN	ANKRD13A
F2R	PAIP2B
F2R	DNER
CDO1	PTBP2
CDO1	MRPS28
PTBP2	SEMA5B
ACTR1B	RBBP8
ACTR1B	ELAVL4
RBBP8	MYCBP2
RBBP8	PPAPDC1B
CEP104	HMGAM1
CEP104	AP3B2
HMGAM1	COPS7B
HMGAM1	LRRC48
HMGAM1	SP2
HMGAM1	SV2A
ELAVL4	ASB8
MYCBP2	GDPD1
COPS7B	CLSTN1
COPS7B	KIAA0226
LRRC48	LRCH1
LRRC48	ANKLE2
LRRC48	NOSIP
LRRC48	C22ORF13
ASB8	PCTK1
ASB8	DDHD2
GDPD1	GLIPR2
GLIPR2	RABEP1
ACTR2	MAST3
MAST3	KIF4A
KIF4A	STAG3
STAG3	NOL7
ACTR3B	TBL1XR1
TBL1XR1	SLC16A2
SLC16A2	SDHA
SDHA	PET117
SDHA	CDC16
SDHA	SGTB
SDHA	TFIP11
CDC26	CLK3
CDC26	TIGD1
KLHL9	C14ORF149
GSTM5	ERBB2
GSTM5	KRAS
GSTM5	ELOVL2
GSTM5	GPHN
SMG6	MBD1
CMAS	PRMT7
CMAS	NFXL1
PRMT7	TIGD1
TIGD1	NAV1
C14ORF149	CTR9
BMPR2	GNPTG
BMPR2	EIF2AK1
BMPR2	SLAIN1
BMPR2	C13ORF27
GNPTG	DDTL
GNPTG	NAALADL2
GNPTG	SDF2
ERBB2	CREG1
ERBB2	MEX3B
ERBB2	SNAPC5
CREG1	GBA
GBA	MRPS2
GBA	SH3RF1
MBD1	C22ORF39
MBD1	PREPL
MBD1	RNGTT
MBD1	TBC1D25
ADAM9	MAVS
MAVS	RTCA
RTCA	STAT3
ADAT2	HK1
ADAT2	NUDCD1
ADAT2	SCUBE3
ADAT2	SNX19
HK1	CENPM
ATP6V1C1	SNX19
SNX19	RASA2
CENPM	TBC1D25
CENPM	MAPK6
CENPM	GPS2
NUDCD1	SMC6
TBC1D25	KATNA1
ADCY3	G2E3
ADCY3	LANCL2
G2E3	CEP250
CEP250	OSER1
CEP250	CARD8
OSER1	KIAA0408
ADD3	C1ORF96
ADD3	CACNB4
ADD3	MCM5
ADD3	MRPS6
ADD3	NELL2
ADD3	SLC41A3
C1ORF96	MED15
C1ORF96	C17ORF75
C1ORF96	PDLIM3
C1ORF96	RNF167
ATP13A3	SLC41A3
