AACS	FOCAD
ITSN1	ENTPD1
ITSN1	MAK
EXOC2	LYST
EXOC2	EIF5AL1
EXOC2	GPSM1
MSANTD4	NEK1
LBH	SKIV2L2
LBH	PDCD2
RABL3	POGK
ATMIN	C2orf76
C2orf76	ODF2L
C2orf76	CNN2
C2orf76	METTL25
C2orf76	RMDN3
ODF2L	PCGF2
ODF2L	LRRC8C
CNN2	DUS4L
CNN2	NOG
GUF1	BLOC1S3
PCGF2	PTPN23
PCGF2	STX2
RMDN3	HNRNPUL2
INA	NISCH
INA	SMO
NISCH	NFIX
SMO	GOLGA6L4
ATP1A1	LINC00493
ATP1A1	SUPV3L1
LINC00493	CDC16
METTL3	SUPV3L1
METTL3	BNIP2
SUPV3L1	EXOG
BNIP2	CUL1
SOX1	EFEMP2
ATP5G2	FBXW9
ATP5G2	HMGN3
FBXW9	COQ5
FBXW9	BCKDHA
FBXW9	NIPSNAP1
COQ5	ATP5L2
COQ5	SCG5
BCKDHA	PTTG1IP
ATP5L2	COG6
ATP5L2	SMUG1
COG6	MFHAS1
COG6	MTHFR
MFHAS1	DNM3
DNM3	BANP
DNM3	HEATR5B
ATP6V0B	MCM10
ATP6V0B	GOLM1
MCM10	NPAT
NPAT	GINS4
CYB5A	CHRDL1
ATP6V1A	MRPS22
MRPS22	LMBR1L
MRPS22	DOCK7
LMBR1L	ERCC6L2
LMBR1L	ECHS1
LMBR1L	RAVER2
ERCC6L2	RALY
ATP6V1D	MIOS
ATP6V1D	NFAT5
MIOS	SCYL3
MIOS	FAM168A
MIOS	FOXP2
CIR1	RSBN1
SCYL3	NR2C2
NR2C2	FAM175B
FAM175B	TBCD
RSBN1	TADA2A
TBCD	SAMD4B
TBCD	SLC38A9
ATXN2	DAP
DAP	IQSEC1
DAP	SLC25A51
DAP	PGM3
PGM3	PDCD10
1-Mar	OTUD4
1-Mar	EEF2K
1-Mar	GCN1L1
OTUD4	BICD2
OTUD4	GOLGA8B
ATXN7	FAM104A
PIN1	HS6ST2
KIAA2018	DIXDC1
DIXDC1	SYS1
NFIX	SLBP
B3GAT1	NUP35
B3GNT5	NUBP1
B3GNT5	GALM
B3GNT5	SNAPC1
FIGN	GLI2
GNL2	TCF7L1
GLI2	MED7
GAP43	NUP43
BANP	MEF2C
BANP	SAP30L
HEATR5B	DENND5B
SAP30L	EDEM3
SAP30L	GPR107
SAP30L	NCOA2
DENND5B	RBFOX1
GPR107	FCHSD2
BBS1	LZIC
LZIC	PACRGL
C9ORF85	SPSB3
ST6GAL2	DIS3L2
ST6GAL2	FCHO2
ST6GAL2	GINS1
MAP3K7IP1	STAG1
MAP3K7IP1	CCDC136
MAP3K7IP1	FAM91A1
MAP3K7IP1	HNRNPA1
GINS1	H6PD
STAG1	FAN1
CCDC136	FAM212B
HNRNPA1	HNRNPA1L2
PTTG1IP	TCTN1
TCTN1	C3ORF38
FEM1C	SLC38A6
SLC38A6	CEP152
SLC38A6	MTFMT
PHYHIPL	LMBRD1
PPIL1	C12ORF10
CLSTN1	KLHL20
CLSTN1	RAB5B
SERF2	RAD17
BET1	KLHL20
BICD2	CHML
GCN1L1	MAPRE2
BIRC2	SNF8
SNF8	FAM171A1
SNF8	GLE1
FAM171A1	RABEPK
RABEPK	RRP36
RABEPK	CCNY
RABEPK	CRB1
RABEPK	KIAA00900
GLE1	DPY19L2
RRP36	RAB9A
GTF2H3	FLRT3
DDTL	DDT
DDTL	PDLIM7
DDTL	PTRH2
NAALADL2	CHM
NAALADL2	EXOC1
C13ORF27	HSDL2
CHM	PAK2
PAK2	TCEAL7
BNIP1	NFYB
NFYB	DNTTIP1
DNTTIP1	COL27A1
DNTTIP1	MEST
COL27A1	H6PD
BOD1	SSH2
SSH2	PRKRIR
SSH2	NFX1
PRKRIR	CUL2
PRKRIR	CRKRS
NFX1	PFKP
CUL2	BRE
CUL2	TBCCD1
CUL2	PLEKHB2
KIF3C	P4HA1
BRD7	MAK16
MAK16	DNAJC17
MAK16	ERCC3
DNAJC17	SMURF1
BRD9	FAM212B
BRD9	HIAT1
FAM212B	GGA1
FAM212B	PAPOLG
HIAT1	CHPT1
BRE	KAT5
TBCCD1	GEMIN5
TBCCD1	HTR2A
TBCCD1	NSUN7
GEMIN5	GPR171
HTR2A	PLXNB1
NSUN7	FILIP1L
KIAA00900	MKI67IP
RAB9A	SHISA5
BSDC1	KLF3
KLF3	PRPSAP2
CPSF3	DCAF13
INTS2	GPR22
SLC25A1	LYST
LYST	GTF3C3
LYST	CNTFR
LYST	PTDSS1
GTF3C3	MEN1
GTF3C3	GRAMD1A
CDC45L	KIF2A
KIF2A	PRDM2
MSH5	SCAMP4
RALA	MAST1
IL6ST	POLA1
C17orf49	GOPC
C17orf49	PSMB1
C17orf49	TCEAL2
GOPC	DDX26B
GOPC	TAGLN3
DDX26B	DCAF10
MEN1	DCAF10
MEN1	THAP7
SMARCA1	DDIT3
C1ORF131	SMCR7L
C1ORF131	CLCN3
SMCR7L	ENTPD1
SMCR7L	MRPS9
ENTPD1	GLYR1
CNTFR	DOCK3
C21ORF58	NSMCE4A
C21ORF58	CLIC4
NSMCE4A	ERCC4
C22ORF39	LRRC1
C22ORF39	RORA
RORA	CREM
MRPS23	NEK3
RNGTT	SLC20A2
SMIM20	ELOVL2
C2CD3	DDX42
DDX42	DYNC1LI1
DDX42	LRRC41
DDX42	TCOF1
DYNC1LI1	FLCN
DYNC1LI1	GLT8D1
TCOF1	FBXL20
LRRC8C	EMP3
HIF1AN	PHF19
HIF1AN	EMX1
PHF19	DCUN1D2
HNRNPUL2	LASS6
HNRNPUL2	STMN1
C3orf33	KIAA0100
C3orf33	CASP6
KIAA0100	DNAJA3
KIAA0100	GDE1
KIAA0100	SNX25
KIAA0100	PINLYP
KIAA0100	PSEN1
GDE1	TADA2A
TADA2A	THOC5
TADA2A	DIDO1
TADA2A	MCM6
PINLYP	CTCF
C3ORF38	SRPK1
SRPK1	FTSJ2
C3orf58	SLC35B2
C3orf58	LENG8
SLC35B2	PAPPA2
SLC35B2	GFPT1
SLC35B2	MTRR
PAPPA2	SOCS4
PAPPA2	HSPA4
PAPPA2	SCAP
SOCS4	TAF8
IMPAD1	PHB
REPIN1	DKK3
REPIN1	GOLGA3
C9ORF16	THAP7
THAP7	MED31
LYAR	GABRB3
GABRB3	SPSB3
SPSB3	GNB5
CCDC34	PQLC2
PQLC2	MEST
CADPS	CHKA
CHKA	LMBRD1
CHKA	GOLGA2
CHKA	KCNMB3
CHKA	CSNK1A1
LMBRD1	CTSD
CSNK1A1	PDCD6IP
CAMSAP1	C21ORF45
C21ORF45	FBXO5
C21ORF45	FAM107B
FBXO5	JMJD1C
FAM107B	GBAS
CAPN2	SHISA5
CAPN2	FBXO9
CASC5	LIN9
CASC5	NUF2
CASC5	POC1B
LIN9	MAPK6
MAPK6	NUP54
NUF2	NXT1
POC1B	GRB10
NXT1	CCNJ
GRB10	KIAA1407
CBLL1	MKI67IP
CCDC101	THAP4
CDH23	SRRD
SRRD	PPOX
GRK4	PEX14
PPOX	STAM
MEX3B	PGM1
GPHN	NSDHL
GPHN	FAM168B
NSDHL	STX6
NSDHL	DHDDS
NSDHL	MLF1
CCDC150	NXN
NXN	PARG
PARG	LATS1
PARG	LYRM7
TAF8	MKNK2
SLC38A3	FGFR1OP2
SLC38A3	MRPL27
CCDC181	PTBP1
NUP43	RAB21
DPP7	FAM162A
DPP7	CLPP
FAM162A	RAB21
CCNH	CCDC41
CCDC41	DDX50
PI4KB	CHRDL1
CHRDL1	SGTB
SGTB	SORD
TFIP11	GET4
TFIP11	TFE3
TFE3	MDN1
NFXL1	COL9A1
CDC6	SLC4A7
SLC4A7	HADH
SLC4A7	GSTM1
HADH	PEPD
GSTM1	GSTM2
PEPD	PIK3R3
CDCA4	FKBP2
CDCA4	POLA2
FKBP2	PID1
POLA2	MAN2C1
POLA2	NPRL3
COPG1	PEMT
PID1	RARRES2
PID1	SEMA4D
MAN2C1	SDC4
NPRL3	POP7
CDH12	SECISBP2
SECISBP2	RARRES2
CDH4	CHCHD5
CDH4	SLC27A5
SLC27A5	FN1
PHC2	EXOSC2
CRKRS	EPS15L1
CRKRS	PDHA1
EPS15L1	PPRC1
GTF2B	PDHA1
GTF2B	RARS
RARS	POLR2K
RARS	TBC1D24
EIF2AK4	TCEA1
GLT8D1	SPICE1
SPICE1	NR2F1
GPS2	LRRC61
CEP152	COMMD3-BMI1
COMMD3-BMI1	COMMD3
CEP164	RNF145
CEP164	RNF5
RNF145	GLUD2
GLUD2	MAPK1
GLUD2	SCP2
LASS6	ICA1L
CHCHD7	DLL1
DLL1	MRPL44
DLL1	GSTP1
DLL1	TIFA
MRPL44	RAB5B
MRPL44	KIAA1191
RBM42	TIFA
TIFA	MLC1
PIK3R3	KIAA0586
CUL4A	ELP2
ELP2	PRR14
PRR14	NR2E1
PRR14	GALK2
NR2E1	THOC5
TCEAL7	ITM2C
ITM2C	SLC35B4
CHMP2A	FEN1
FEN1	HAUS5
FEN1	HMGXB3
HAUS5	TERF2
CHRNA7	LEF1
LEF1	LTBP4
LEF1	RPUSD4
GALNT2	TIMP2
GALNT2	GSTCD
CLPP	SACM1L
SACM1L	PAQR3
RAB21	RDH11
CNOT10	NIF3L1
COL9A1	TBCK
GPC4	MRPL46
MRPL46	TIMM23
CNOT4	TIMP2
TIMP2	CYFIP1
DOCK3	SYNGR1
SYNGR1	HGSNAT
SYNGR1	POLR1A
GPSM1	ST3GAL6
GRAMD1A	LCMT1
HDGFRP2	LEO1
LEO1	GINS4
LEO1	GPC1
H6PD	SLC9A3R1
HERPUD2	C12ORF32
C12ORF32	SGOL1
C12ORF32	MPHOSPH6
COMMD7	CTCF
COQ4	GPR22
DIP2A	EHMT2
EMX1	ITGB8
TAMM41	MPP5
MAPK8IP3	DDX49
STX6	SPG21
PENK	SCAP
PENK	RNMTL1
SCAP	SEC16A
SEC16A	MPRIP
CSNK2A3	PSENEN
CSNK2A3	MTG1
ETV3	SRFBP1
GFM2	RASA4B
GOLGA6L4	GOLGA6L9
MED22	ESCO1
THAP6	PDCD7
THAP6	SLC25A14
NAP1L3	PLP2
GLB1	FAM168B
FAM168B	THUMPD3
DHX57	POMGNT1
DHX57	NCK1
DIDO1	GON4L
EHMT2	SAT2
NLGN1	C19ORF50
NLGN1	NCAPG2
C19ORF50	FIGNL1
C19ORF50	TEX10
FAM64A	TIMM10
FAM64A	PPP2R2A
TIMM10	NUDCD3
LYRM7	SENP2
DNAJC1	MYO19
MYO19	SNX14
DNAJC13	RBM41
RBM41	PBXIP1
PBXIP1	DPY19L2
DNAJC25-GNG10	RASA4B
DNAJC25-GNG10	ERLEC1
RASA4B	RASA4
POLR1A	SERPING1
EP400	FGFR1OP
EP400	RFXANK
FGFR1OP	MRPL10
PCBD2	GMPPB
FAM192A	MPP5
NINJ1	SYAP1
MBOAT2	NR2F1
DYNC2LI1	PHTF1
DYRK2	POLR2K
ECHS1	PDIA4
RAVER2	NPHP1
EDRF1	SLC20A2
EDRF1	MBNL2
ELAVL3	GOLGA6L9
KIAA0090	RAB12
KIAA0090	TEAD2
TEAD2	RFX7
SMN2	SMN1
EMP3	HERPUD1
ENO2	SNCAIP
SNCAIP	LONRF1
LONRF1	SIGMAR1
SIGMAR1	SEC23IP
FAM118A	MAK
MAK	MIF4GD
EPC2	PDCD7
FABP7	NDUFAF4
PDE4D	PIGN
EXOSC2	FADS2
GBAS	JTB
MGMT	RAD54B
C12ORF24	GALNT1
FAM32A	MAPK1
MAPK1	OAT
INO80	PLXNB1
FANCA	RBM22
RBM22	NUP93
NUP93	METAP2
TERF2	MKRN1
FGGY	SHISA2
FHOD3	NCAPG2
FHOD3	SMARCA2
NCAPG2	MOCS2
FIGNL1	MKRN1
PIGN	GPR75-ASB3
FLVCR1	PPM1L
FLVCR1	GDF11
PPM1L	PNPO
NEK3	TBC1D15
HS6ST2	PCIF1
SCP2	IRGQ
GMPPB	INPP5F
GMPPB	OTUD3
SEC23IP	SAMD4A
SAMD4A	OMA1
SLC25A14	OSBPL11
GSTM2	HEXIM1
GTF2IRD1	KIAA0895
HNRPLL	IFT74
PARP4	STX17
SLC35B4	PNRC1
SLC35B4	S100PBP
KDM2A	SUV420H1
KDM2A	MAP9
KDM2A	STK33
SUV420H1	PKD2
STK33	TIMP1
PKD2	OMA1
PKD2	RFTN2
KIF22	LRRC3B
