ANO5	0.012244897959183673
ADK	0.0013605442176870747
EIF1AD	0.0013605442176870747
PRIM1	0.0013605442176870747
FAM102A	0.0013605442176870747
C20ORF12	0.005442176870748299
ATP9B	0.0013605442176870747
AKTIP	0.0013605442176870747
ACADM	0.0013605442176870747
ARHGEF7	0.0013605442176870747
MFSD2A	0.0013605442176870747
NMD3	0.0013605442176870747
SLC35B2	0.0013605442176870747
RASSF4	0.0013605442176870747
BCL9L	0.0013605442176870747
GALNT11	0.0013605442176870747
RAPH1	0.0013605442176870747
BCKDHA	0.0013605442176870747
PSMA1	0.0013605442176870747
PCGF3	0.0013605442176870747
AGBL3	0.0013605442176870747
GAL3ST4	0.0013605442176870747
CHAMP1	0.0013605442176870747
LRRC37A	0.005442176870748299
NEK1	0.005442176870748299
TIMM22	0.005442176870748299
GALNT16	0.0013605442176870747
NRBF2	0.005442176870748299
RSBN1	0.005442176870748299
NOG	0.0013605442176870747
METTL8	0.012244897959183673
FADS2	0.0013605442176870747
ANO10	0.0013605442176870747
MLLT10	0.0013605442176870747
SEMA4C	0.005442176870748299
CCDC34	0.0013605442176870747
ANGPTL3	0.0013605442176870747
RELA	0.0013605442176870747
GOLGA8B	0.0013605442176870747
SHARPIN	0.005442176870748299
CENPJ	0.005442176870748299
PAK1	0.0013605442176870747
PLRG1	0.0013605442176870747
BOLA3	0.0013605442176870747
RACGAP1	0.0013605442176870747
ATPBD4	0.0013605442176870747
EMP2	0.012244897959183673
NIPA1	0.0013605442176870747
MGRN1	0.021768707482993196
PPID	0.0013605442176870747
POLR1D	0.0013605442176870747
IL1RAPL1	0.0013605442176870747
MRFAP1L1	0.0013605442176870747
PITPNA	0.0013605442176870747
CHD2	0.04897959183673469
SDAD1	0.0013605442176870747
DPYSL4	0.005442176870748299
NOL9	0.0013605442176870747
MXD3	0.0013605442176870747
GOLGA7	0.0013605442176870747
CH507-9B2.5	0.0013605442176870747
PPP2R2B	0.0013605442176870747
SNAP25	0.0013605442176870747
MPHOSPH8	0.034013605442176874
GRN	0.005442176870748299
PTPRA	0.0013605442176870747
PHF23	0.005442176870748299
CAPN12	0.04897959183673469
JAK1	0.0013605442176870747
PDIK1L	0.0013605442176870747
PHC1	0.005442176870748299
IQCK	0.012244897959183673
NFYC	0.0013605442176870747
NBPF1	0.0013605442176870747
POLR3F	0.0013605442176870747
PELI1	0.0013605442176870747
ARL1	0.0013605442176870747
FGFR1OP	0.021768707482993196
GRHPR	0.0013605442176870747
DAZAP1	0.0013605442176870747
SLC35C2	0.0013605442176870747
CLMP	0.0013605442176870747
CHCHD7	0.005442176870748299
EXOC2	0.0013605442176870747
SRM	0.005442176870748299
HSCB	0.012244897959183673
FBXO32	0.0013605442176870747
KIAA0195	0.005442176870748299
HAX1	0.034013605442176874
HIPK1	0.0013605442176870747
CCZ1	0.005442176870748299
NUBP2	0.005442176870748299
NEDD9	0.021768707482993196
DNAJC15	0.005442176870748299
ORC1	0.005442176870748299
NFKBIL1	0.0013605442176870747
EFCAB7	0.005442176870748299
