AAAS	DNAJA2
SLC35A3	CHORDC1
SMARCC2	SLK
SLK	CPSF1
SLK	ASF1A
ATP6V1G2	SDAD1
ATP6V1G2	ANGEL2
ATP6V1G2	MLEC
ANK3	SPTBN1
ANK3	PAN3
SPTBN1	SOX12
SPTBN1	EIF4E3
ARHGAP12	ST3GAL2
ST3GAL2	C1ORF21
ST3GAL2	DUS4L
ST3GAL2	GDE1
ST3GAL2	PCDHGC4
ST3GAL2	AURKB
GRLF1	ATP11C
GRLF1	SDCCAG8
MED27	SPC24
CKAP2	FJX1
FJX1	PBX1
CPSF1	NMT2
NMT2	CCNK
ELP4	PAPD4
ELP4	PPP1R17
PAPD4	BPNT1
FAM64A	TCEAL7
FAM64A	SCP2
TCEAL7	OXA1L
TCEAL7	DEPDC1
HSF2	ASXL1
ASXL1	SBF2
KIAA0226	PDP1
KIAA0226	PTMS
OAT	PAN2
OAT	THAP4
PINX1	RAB21
RAB21	FAR2
RAB21	P4HA1
RAB21	GDE1
PLK4	SMIM18
PLK4	PRPSAP2
SMIM18	CNST
SMIM18	PAG1
PTMS	ADIPOR2
SCP2	N4BP1
SLC35B4	THAP4
EIF4E3	SMC5
DEPDC1	COPG1
DEPDC1	SFI1
DEPDC1	HSDL1
ABHD10	CCNY
ABHD10	NETO2
CCNY	KIAA1109
ACO2	SMYD3
ACTN4	PSPC1
ACTN4	KIAA1033
PSPC1	LYSMD3
ADD2	EGLN1
EGLN1	AKT1
EGLN1	RAB9B
AFF2	SHF
SHF	ERCC6L
SHF	HELB
AKT1	HELB
AMOTL1	AP3M1
AP3M1	ARFGEF2
ANKDD1A	NIF3L1
NIF3L1	CAPG
NIF3L1	IL1RAPL1
NIF3L1	ARNT2
NIF3L1	SH3GL2
NIF3L1	SNRNP25
ANKRD49	ASXL3
ASXL3	SETD7
ARFGEF2	GLIPR1L1
APH1A	MEX3C
APH1A	CAMK2D
APH1A	OPHN1
MEX3C	ERCC6L
MEX3C	PCSK2
GLIPR1L1	CRYGS
ARL5A	PCDHGC4
ARL5A	NUP133
PCDHGC4	FAM65A
ARNT2	KDSR
ARNT2	C12orf5
ARNT2	LHX9
KDSR	ALG6
KDSR	CENPN
KDSR	SLC4A10
SBF2	PCSK2
SETD7	DGCR6
ATP2C2	REV1
REV1	RALGPS1
AURKB	KIAA1109
AURKB	GTPBP8
AURKB	LIMCH1
KIAA1109	MSL3
BRIP1	DLGAP5
BRIP1	LIN54
DLGAP5	CDC7
DLGAP5	RALGPS1
DLGAP5	NCAPG
C12orf5	ACOT2
C1ORF21	CDKL3
CAMK2D	PSMA1
CARD8	CHGA
CARD8	IFNGR1
CARD8	MSN
CHGA	STK17B
CHGA	MAP3K13
CHGA	RALB
CD226	DGCR6
CD226	CEP250
DGCR6	KIF18B
CDC42BPA	HPS4
CDC42BPA	SCML2
HPS4	HSDL1
CDC7	SLA
CDKL3	LRRC37A2
STK17B	DHRSX
STK17B	PYGB
STK17B	C16ORF61
CNST	DGCR6L
COPG1	LYSMD3
COPG1	TBC1D20
CRYGS	NAT10
NAT10	TBC1D20
DAPK1	METTL10
SFI1	LRRC37A2
KIF18B	PHF19
RALGPS1	ESCO2
RAB9B	SCML2
ESCO2	SHANK2
ESCO2	ICA1L
SHANK2	LIMCH1
SHANK2	EPB41L2
C3ORF63	P4HA1
C3ORF63	BTBD7
FAR2	NPM3
PBX1	DDX50
GDE1	IGF2R
GDE1	PEX3
GGCX	LRRC37A2
GTPBP8	SLC25A40
HELB	RSBN1
HSD17B12	RALB
KIAA1033	RFX7
PHF19	LRPPRC
PHF19	PAG1
PHF19	KRIT1
KRIT1	N4BP1
LHX9	SEL1L
LRRC37A	RSBN1
OPHN1	REV3L
BPNT1	NUFIP2
PEX3	SETD8
PEX3	LRP8
SCML2	RABAC1
RFX7	RRM2
RFX7	PTDSS1
SDAD1	BARD1
BAG4	GATAD2A
C17ORF75	CCDC59
CHORDC1	GRPEL1
CHORDC1	MEA1
GLRX5	GPKOW
GLRX5	LBH
LRRC20	ATP2A2
SPC24	PRC1
PSMD7	LCLAT1
PSMD7	PCDHB5
LCLAT1	KRI1
ANKRD54	MRPS16
ANKRD54	IER5
MRPS16	NFATC3
MRPS16	MYO6
ASPM	C5ORF22
ASPM	PHF17
ASPM	THADA
C5ORF22	CPD
C5ORF22	GNG4
C5ORF22	MKL1
ATP5F1	SNCAIP
SNCAIP	GSPT1
CPD	DNER
CENPU	ATP6V0A1
DNER	GCDH
DDX19A	SMEK2
SMEK2	DDX19B
DDX19B	SAP30BP
SAP30BP	GSPT1
DDX50	TAF1B
TAF1B	PRKRIP1
GCDH	C9ORF140
F2R	FAF2
FAF2	SNAPC3
SNAPC3	DCUN1D2
FANCM	NUP88
C9ORF140	GRIA1
GRIA1	NPM3
GRIA1	INPP5B
GRIA1	SMARCD2
NPM3	RYK
GSPT1	ST18
ST18	ACBD3
ST18	MRPL47
IER5	NUDC
INPP5B	PRKRIP1
PHF17	NFATC3
KIAA0100	RYK
KIAA0100	PSMB10
MKL1	RARS
MLLT10	THADA
NFATC3	SLC15A4
PIGM	PSMB10
SMARCD2	FAM120A
DCUN1D2	ATOX1
DCUN1D2	MRPS36
ACBD3	PRDX6
ACBD3	ORAI2
ACBD3	SFSWAP
ACBD3	DNAJC17
FAR1	SYNJ2BP-COX16
FAR1	SPCS2
SYNJ2BP-COX16	FKBP11
SYNJ2BP-COX16	MRPL10
SYNJ2BP-COX16	LYRM1
IPO5	LMAN1
LMAN1	PMM2
LPCAT1	PUS7
LPCAT1	TDG
PUS7	CCDC82
NPIPB11	SETD1A
SETD1A	PEF1
PEF1	CAPRIN1
PEF1	BZW2
CAPRIN1	CGRRF1
CAPRIN1	RBM5
PNRC2	ABCA1
PNRC2	MTMR9
PNRC2	NUP188
ABCA1	FARP2
AZIN1	MRPS24
AZIN1	BDP1
MRPS24	FAM21A
MRPS24	FAM21C
HECTD3	SLC35F6
LEPROTL1	NPAT
NPAT	ANK2
15-Sep	PRR4
15-Sep	CD164
PRR4	TARBP2
PRR4	RNF4
ALDH16A1	EGLN3
EGLN3	CMC1
EGLN3	LAMTOR1
ARL1	RHOBTB3
RHOBTB3	ERCC6L2
RHOBTB3	MMD
ATOX1	CEP164
ATPIF1	CXCR5
ATPIF1	TGIF1
CXCR5	ERO1L
CALCOCO2	MTMR9
MTMR9	CDCA7L
MTMR9	CYB5A
CDC27	LSM4
CDC27	MAGI3
LSM4	FAF1
CEP164	KAT2B
CEP164	RNPC3
CLCC1	PRKAR1A
PRKAR1A	ITGAE
CMC1	FBXO28
CNTRL	LCMT1
LCMT1	SETD4
ERO1L	SETD1B
DVL3	EIF2AK2
EIF2AK2	EPB41L4A
EIF2AK2	TGS1
EIF2AK2	FARP2
EPB41L4A	GLUD1
EPB41L4A	CYFIP1
GLUD1	GBA2
GLUD1	FBXO28
SETD1B	LCORL
SETD1B	RNPC3
SETD1B	DTYMK
FAF1	NBPF14
FAF1	ITGAE
NBPF14	FAT1
FAN1	RAB6A
RAB6A	MMD
RAB6A	NRBP1
FBXO28	NBPF8
FBXO28	NSF
HPRT1	LRCH3
LRCH3	LAMTOR1
IFI27L2	NBPF8
ITGAE	NBPF10
KIAA0232	MMD
MMD	CCDC112
LCORL	COPB1
NDUFS2	SLC25A36
SLC25A36	DNAJC13
SLC25A36	ITSN1
TACC2	REV3L
TCHP	DHRSX
PRDX6	CNOT8
ACTR6	MRPS2
ACTR6	MEF2BNB-MEF2B
ACTR6	PARP2
MRPS2	NFKBIA
AK3	CHMP2A
AK3	GULP1
CHMP2A	DTNB
ALKBH5	C1GALT1C1
C1GALT1C1	DHX35
AMZ2	MED19
MED19	CSGALNACT2
MED19	ORAI2
MED19	STAT2
ANP32B	PPDPF
ANP32B	POU6F1
ARL2BP	SETSIP
SETSIP	SBF1
ARX	KCNQ2
ARX	DYRK3
ARX	ITPA
ARX	PPP2CB
KCNQ2	CELF3
KCNQ2	DTNB
KCNQ2	LARP4B
KCNQ2	LUC7L2
BAD	CCDC91
CCDC91	SGTA
CCDC91	FAM63B
CCDC91	RBM14-RBM4
BBS4	BTG2
BTG2	GBA2
BTG2	DTNB
BTG2	GUK1
BTG2	KIAA0556
BTG2	PRKAB1
GBA2	FUT11
GBA2	IDH3G
GBA2	SBF1
DHX35	KCMF1
CBY1	KIAA0556
CBY1	SIK3
CBY1	HDAC5
SGTA	CPSF2
SGTA	DPH2
CCNDBP1	CSGALNACT2
CCNDBP1	CPLX2
CCNDBP1	GET4
CSGALNACT2	ETV5
CDK6	ETV5
CDK6	PCDHGB6
CELF3	MAP6
CENPH	FLOT1
FLOT1	ELOVL5
DTNB	ERCC3
DTNB	KCMF1
DTNB	MKNK2
DTNB	SBDS
COPS4	PDCD6
CPLX2	LYPLA2
CPLX2	MRPS23
CPLX2	RBM27
CPLX2	RBM45
CPLX2	SNX14
CYFIP1	SMG5
CYP51A1	NFKBIA
NFKBIA	FUT11
DNAJC13	HADHB
DPYSL4	STUB1
STUB1	ERCC3
FABP7	GET4
FNTA	GALNT14
GALNT14	IK
IK	PDCD6
GUK1	NDUFAF2
HCFC2	SALL1
SALL1	ORAI2
HIRIP3	RAP1A
RAP1A	MCM6
RAP1A	LUC7L2
IGF2BP1	ITPA
ITPA	IKZF5
INTS4	PIAS4
PIAS4	EPB41L5
PIAS4	GPR161
PIAS4	POP5
ITSN1	MRPL47
IWS1	NBPF10
NBPF10	ARHGAP17
LARP4B	C13ORF1
MED24	PPP2CB
NOP16	C13ORF1
PARP2	PDE7A
CNOT8	CAMKK2
SEZ6L	SP8
SP8	DNAJC17
FARP2	DRG1
DTYMK	NCK1
KRI1	POLR3A
KRI1	ATP8B2
SETD4	PHAX
SETD4	NUP155
ANKZF1	DRG1
DRG1	RIC8B
ELOVL5	LIG3
ADIPOR2	APC
ADIPOR2	RNF130
APC	RNASEK
APC	RFX3
ADAM19	POLR2A
ADAM19	CDH8
ADAM19	PRKAA1
POLR2A	SMG5
BRD3	GTF2F2
BRD3	C11ORF57
BRD3	LRRC8A
C11ORF57	MGAM
CDH8	DNALI1
CDH8	INTS9
CDH8	RASSF4
CMTM7	GCFC2
CMTM7	DPH2
CMTM7	DNAAF2
GCFC2	PMS1
GCFC2	GTPBP1
CNTFR	GULP1
GULP1	FAM210B
DPH2	NIT2
FASTKD1	PPP1R11
FHL1	TEX2
TEX2	PHTF1
TEX2	HDAC5
HSD17B10	SLC25A11
HSD17B10	NT5C2
NDUFAF2	STOML2
NDUFAF2	PPP1R3E
PHF6	SMG5
SMG5	ARF3
SMG5	PAAF1
SMG5	SAMM50
PRKAA1	PCCA
HMG20A	POLR2J2
POLR2J2	POLR2J
ASF1A	CALU
ASF1A	MINPP1
CALU	EMX1
EIF3G	SNX17
EIF3G	BARD1
SNX17	EMX1
CAMKK2	CIZ1
PMS1	EPHB2
PMS1	RER1
PMS1	SMOX
POP5	ARL3
POP5	KHSRP
MSL3	NUB1
MSL3	RANBP3
PYGB	FOCAD
C16ORF61	MRPL1
C16ORF61	PPME1
GLMN	NUP35
NUP35	E2F1
NUP35	RNF111
MEST	KHSRP
KHSRP	APBB2
CPSF7	FAM120B
CPSF7	IFT81
CPSF7	NR2C2
FAM120B	SEMA6D
LIG3	GRWD1
EML1	MRE11A
MRE11A	PHAX
MRE11A	SOX6
HIPK1	PPP2R5D
PPP2R5D	MRPL55
GRWD1	EPHB2
MRPL55	PAN3
NR2C2	NUP155
ATP2A2	TBC1D13
CDC25A	DCI
DCI	TBC1D13
DCI	PRMT2
DDX46	SYCP3
SYCP3	PRMT2
FSD1L	TCTN2
TCTN2	NXF1
TCTN2	PRMT2
TCTN2	PGBD1
HAGH	RNASEH2C
RNASEH2C	DCAKD
RNASEH2C	SLC4A1AP
MEA1	NOP2
NOP2	C18orf54
CEP135	TACC3
TACC3	PRKD1
DIS3	PALM
PALM	FAM161A
PALM	MED7
EPB41L2	FAM161A
EPB41L2	MASTL
EPB41L2	MYEF2
EPB41L2	SAP130
FOCAD	RNF13
CENPN	NRBP1
LRP8	PHYHIPL
PRKD1	PTDSS1
PRKD1	FAM172A
PTDSS1	PDE1A
RANBP3	PRR14L
RANBP3	SFXN5
IDH3A	CELF5
CELF5	SEC24C
CELF5	SNRPA
ANXA5	CWC22
CWC22	STON2
STON2	PHLDB2
BPGM	FGFBP3
BPGM	SUPV3L1
RASGRP1	RMND5B
RASGRP1	SP3
C18orf54	PGD
CSTB	NLGN1
CSTB	POLR3F
NLGN1	CTTNBP2NL
NLGN1	PIM2
SMC5	GNG3
GNG3	POLR3F
PENK	DHX8
PENK	TAX1BP1
DHX8	PEG10
PGD	ST8SIA2
ST8SIA2	CPNE3
CCDC144A	MCM5
MCM5	RNF111
MCM5	MVB12B
HACE1	RNF111
RNF111	IMPDH1
IMPDH1	EBAG9
IMPDH1	CDC42EP4
EBAG9	AGFG1
EBAG9	DTX3
EBAG9	FAM20C
EBAG9	KIAA1841
ACVR1B	COMMD9
ACVR1B	AFF1
ACVR1B	TIMM22
ACVR1B	ANXA7
COMMD9	NUFIP2
COMMD9	LAMP2
AFF1	METTL18
AFF1	NR2F1
ANK2	TAX1BP1
NUFIP2	NHLRC2
NUFIP2	PEPD
NUFIP2	PPIL3
NUFIP2	RNF180
MRPL1	MBIP
MRPL1	TBCCD1
DEPDC1B	NHLRC2
DEPDC1B	JAK1
NHLRC2	TBCCD1
PEG10	ADCYAP1R1
DIAPH1	CTNNA1
DIAPH1	NAB1
CTNNA1	STAT1
CTNNA1	NUP37
DRAM2	MBIP
DRAM2	PARD3
DRAM2	RUSC1
EXT1	LPPR4
LPPR4	PPME1
TBCCD1	NAB1
ADCYAP1R1	KIAA0528
BTG1	NCK1
NCK1	NMD3
KIAA0528	FXR2
CNR1	PDCD4
CNR1	MTRNR2L12
PDCD4	MTRNR2L8
LRRC57	RBM14
RBM14	MTRNR2L8
RBM14	CNTNAP2
MTRNR2L8	ATP5C1
ARV1	SND1
SND1	GFOD2
SND1	SF3B4
SND1	KCNN1
SND1	RASA4
IMMT	HDAC6
HDAC6	KCNN1
MAPKAPK5	BNIP2
MGAM	HSPBP1
ACTB	KBTBD7
ACTB	POTEE
KBTBD7	PHOSPHO2
KBTBD7	IDS
BAZ2A	PLOD3
PLOD3	COG8
PLOD3	EIF3J
PLOD3	AFMID
PLOD3	AGPAT1
PLOD3	SLC27A4
BCL7B	GADD45G
BCL7B	CRAMP1L
BCL7B	EXT2
GADD45G	CEBPZ
GADD45G	C14ORF179
CACYBP	RRM1
RRM1	RNASEH2A
CHN1	PHOSPHO2
PHOSPHO2	RAB1B
CRAMP1L	DHCR24
EXT2	TRAIP
C14ORF179	AGPS
LMO3	MPV17L2
MPV17L2	RAB1B
MPV17L2	SHB
MPV17L2	ALG8
RAB1B	NMT1
NTRK3	ARHGEF18
NTRK3	PIP5K1C
ARHGEF18	TADA2A
ARHGEF18	SRA1
PTGFRN	TADA2A
TADA2A	FDFT1
TADA2A	TAX1BP3
RAB11B	BCAS2
BCAS2	ATPAF2
BCAS2	TCEA1
BCAS2	PCDHGA10
BCAS2	ENTHD2
RNASEH2A	REC8
SHB	SNN
SHB	TIMM17B
BSCL2	MED7
MED7	PCNT
KATNA1	DAG1
KATNA1	ACVR2B
DAG1	MRPL50
PCNT	SEMA3A
SEMA3A	FAM111A
COX7A2L	PPIE
PPIE	MBTD1
PPIE	RIC8B
PPAT	APPL1
APPL1	SC5DL
ATP1B2	PTCHD2
ATP1B2	CCDC50
ATP1B2	GDAP1
ATP1B2	SLC39A11
PTCHD2	COPS3
COPS3	PPP2R3C
PPP2R3C	RFWD3
PPP2R3C	PGAM1
RFWD3	GBAS
RFWD3	MTR
RFWD3	SCAI
RFWD3	SMG6
HARS	GLDC
GLDC	DDX47
GLDC	HTATSF1
INTU	SMAP1
INTU	KIAA1467
INTU	NOL10
INTU	TCEB3
INTU	TGOLN2
SMAP1	HERC2
KIAA1467	OSTC
NUBP1	SLC20A1
SLC20A1	KNOP1
SDHD	TIMM13
TIMM13	ALG13
ARHGDIA	GNB2
GNB2	PTBP1
GNB2	RABL3
GNB2	PPP1R14B
DDX55	ALG8
CENPK	RAP1B
CENPK	COL11A1
CENPK	POLR3A
CENPK	HN1L
RAP1B	HKIAA0174H4E
COQ4	AKIRIN2
COQ4	SLC23A2
COQ4	SEC24C
AKIRIN2	PIN1
AUP1	PCNXL3
PCNXL3	NOL9
PCNXL3	PRPF31
PCNXL3	MLXIP
PCNXL3	POLR2J
POLR2J	STX18
POLR2J	MICAL1
CKS1B	GGNBP2
GGNBP2	COMMD4
GGNBP2	MPHOSPH9
MPHOSPH9	EMP2
EMP2	RIOK2
KCNN1	BECN1
KCNN1	HSPH1
CCNK	SPTLC1
CCNK	RGPD8
SPTLC1	RABL4
RIOK2	RFFL
RIOK2	DTX3
GNG2	GLRX
GLRX	CHML
GLRX	FKBP9
GLRX	CSTF1
ACTR3	DENR
DENR	C16ORF68
CLUAP1	BZW2
AAK1	TGOLN2
ALG13	TAF6
ALG13	MRPL28
TAF6	ATG4C
TAF6	CBLL1
