AAAS	DNAJA2
DDX41	RBM23
DDX41	SLC7A6
RGPD2	C10ORF18
DENND1B	PLCE1
DGKA	STRN4
STRN4	PCBD2
STRN4	SEC61A1
STRN4	MYD88
STRN4	TBCE
STRN4	POLL
STRN4	PRH1
DHDDS	MEF2D
MEF2D	NGLY1
MEF2D	RAB22A
EIF4A3	1-Mar
EIF4A3	MCM3AP
1-Mar	C10ORF18
1-Mar	PHTF2
1-Mar	SLC35E1
ENOPH1	NOVA1
EXOC1	FAM21A
EXOC1	RNF4
FAM133B	TBK1
C10ORF18	RBM16
FHOD3	KCNMB4
GDI2	MKRN3
MKRN3	PAK3
ING5	RNF214
RNF214	KATNAL1
NGLY1	STAG3
KATNAL1	SYT4
LANCL2	RNF4
LANCL2	RAB3GAP1
CTDSP2	LRRC48
CTDSP2	SAT2
TATDN1	NEK9
MCL1	RNF19A
RNF19A	PTN
RNF19A	MPRIP
RNF19A	SNX16
SMG7	RBM16
MPRIP	SAR1B
NEUROD2	SULT1C4
NEXN	PEA15
NSD1	INO80D
INO80D	RAB8B
PARP16	RAB3GAP1
PARP16	PFKM
TFIP11	SETMAR
TFIP11	C11ORF73
PSMD5	CD164
RAB3D	SLC7A6
SREBF1	SULT1C4
TAOK1	CMPK1
CMPK1	SCNM1
ADSS	IQCE
IQCE	ANGPT2
IQCE	NUCB2
ANGPT2	CHST12
ANGPT2	DCK
ANGPT2	TBC1D15
CHST12	BRP44
ANKRD17	BRP44
BRP44	IBA57
BRP44	FAM149B1
BRP44	TBC1D1
ARL16	EP300
EP300	HMBOX1
EP300	NKIRAS2
EP300	SETD3
CCZ1B	HMBOX1
CCZ1B	GPHN
HMBOX1	TBC1D1
CLK4	TCEAL4
TCEAL4	HSD17B4
TCEAL4	SRPRB
TCEAL4	MAPK14
CREB5	FXR2
CREB5	NUP37
FXR2	HECW1
DENND4C	FAM149B1
FAM149B1	ASAP1
DNAJB11	ING4
DNAJB11	PET100
ING4	IBA57
ASAP1	ATP9B
HECW1	MTRNR2L12
HSD17B4	PDXDC1
TBC1D15	SGIP1
MAPK14	RARS2
SCNM1	C9ORF85
SCNM1	ANP32E
KIF3A	C9ORF85
AKAP17A	RIMS3
AKAP17A	NUCB1
RIMS3	ESF1
RIMS3	HIF1AN
RIMS3	C16ORF5
ANKRD39	GOLGA8A
ANKRD39	HDGFRP3
ANKRD39	SACS
ANKRD39	PYGO1
ASB7	C16ORF5
C16ORF5	RAB11FIP2
C16ORF5	LIN9
ATG7	MRPS34
MRPS34	RHOB
ATP5S	HIVEP1
ATP5S	FNBP1
ATP5S	RAB28
HIVEP1	GAS2
BAP1	RNF8
BAP1	KDM6A
BAP1	KLF10
BAP1	CCNT1
RNF8	DOPEY1
RNF8	GLYR1
RNF8	PDCD7
RNF8	SLC16A14
BIRC2	SNRNP70
SNRNP70	MRPL43
BTF3	ESF1
C5ORF30	RAB11FIP2
RAB11FIP2	GOLGA8B
RAB11FIP2	MARS
RAB11FIP2	DDX27
RAB11FIP2	RHOB
RAB11FIP2	SCAMP3
CBLB	DDX27
CC2D1B	KLF10
CLN3	PELI1
CLN3	E2F7
CLN3	ERCC2
PELI1	GPR89A
COPB2	ERCC2
CORO2B	GAS2
GAS2	MCCC1
EIF2AK1	RAB28
RAB28	PRKD2
RAB28	SYPL1
MCCC1	SLC15A4
MCCC1	SLC5A6
GLYR1	DIXDC1
GOLGA8B	RB1
GPR89A	LRRC28
LRRC28	NCOA2
LRRC28	PDCD7
RAB8B	NRP2
RAB8B	SETX
NCOA2	LSMD1
NCOA2	MARS
LRRC3B	PDCD7
LYRM4	SDHB
SDHB	NRP2
SLC15A4	SPAST
MFSD11	FAM21C
MRPL43	PRKD2
MRPS35	LSMD1
PLXNB1	SLC16A14
RB1	SCRIB
RHOT1	CDK5RAP1
CDK5RAP1	PRDM4
SCRIB	GPBP1L1
ABHD17B	POLA1
POLA1	ATAD1
POLA1	HERPUD1
POLA1	IL17RD
POLA1	EXTL3
POLA1	PRMT5
ATRNL1	EXTL3
ATRNL1	MAN2B1
EXTL3	ARF3
EXTL3	LSM6
C11ORF73	TAF15
ARF3	KIF13A
ARF3	LRRC49
PHLDB2	DNAJC17
ANAPC10	PEPD
ANAPC10	POLG
ANXA7	INPP5F
CNTNAP2	CLMP
CNTNAP2	PCNP
CLMP	BBS7
CLMP	ECI2
ATP11A	TBC1D8
ATP11A	SERAC1
TBC1D8	RIOK3
BRMS1L	SLC17A6
BRMS1L	ABCB7
BRMS1L	ACSL3
SLC17A6	RIOK3
C16ORF62	EXOC6
EXOC6	STIM2
C18ORF21	PRDM4
C18ORF21	INTS8
PRDM4	CCDC136
PRDM4	MBTPS1
PRDM4	AKNA
CCDC124	SERAC1
CCDC124	DLD
SERAC1	FCF1
SERAC1	LYPLA1
CCDC93	PDCL
CCDC93	RIOK3
PDCL	SEZ6
CCNT1	GNAI2
CCNT1	NAA60
CLVS2	FCF1
COASY	FAM89B
FAM89B	KIAA1324L
FAM89B	SIL1
DCTN1	CHP1
CHP1	SEZ6
STIM2	HERPUD2
KIAA1324L	OTUD7B
KIAA1324L	SRPK1
GPBP1L1	IARS2
GPBP1L1	ERICH1
HERPUD2	RIOK3
RIOK3	MSTO1
RIOK3	SMAD5
RIOK3	SEC61A2
IARS2	KCTD5
IARS2	PPP3CB
KCNH7	LDLR
LDLR	ATP2B1
LDLR	KCTD5
KRBOX4	PHF2
KRBOX4	MRTO4
PHF2	DNAJC17
LYSMD1	PPP3CB
MRTO4	PKNOX2
NFIX	PKNOX2
PKNOX2	POMZP3
PKNOX2	STAG1
SEZ6	IFT80
AKNA	SEC11A
SMAD5	PPAPDC1B
FAM21C	SSR3
SSR3	MCRS1
ATP9B	DPAGT1
CASC4	SLC27A5
SLC27A5	GAREM
SLC27A5	DSEL
DIDO1	HTATSF1
NDUFS7	THOC3
NDUFS7	AGL
THOC3	CDK5R1
DSEL	EML6
DSEL	SUCLG1
SUZ12	SUCLG1
EZR	SSBP3
SSBP3	DRAP1
H1FX	PROSC
PROSC	MAP3K7
PROSC	PHLPP1
PROSC	GSK3B
KDELR1	SZRD1
SZRD1	ARHGEF10L
DRAP1	CENPL
DRAP1	SHMT2
DRAP1	BEND5
ARHGEF10L	POLDIP3
ARHGEF10L	INTS7
DPAGT1	OGG1
DPAGT1	CLDN12
DPAGT1	FOXP2
ATXN2	CARS2
ATXN2	FAM13A
ATXN2	HKR1
ATXN2	SELT
ATXN2	SH3BP5
CARS2	AIMP1
CARS2	SUSD1
EML4	FAM13A
FAM13A	FUT8
FAM13A	KIAA0196
HYI	SH3BP5
SH3BP5	STX1A
MOV10	SELT
SELT	PSMA5
LRRC48	EXOC4
LRRC48	RAB30
LRRC48	PDXK
LRRC48	CIPC
NLRP1	MTG1
MTG1	PCMTD1
MTG1	BPHL
MTG1	CIPC
MTG1	NCSTN
ACSL3	DOPEY2
ACSL3	PCGF2
DOPEY2	OSTM1
RANBP9	IFT80
IFT80	BRWD3
BSDC1	QDPR
QDPR	EIF3CL
QDPR	PPAPDC1B
ANTXR2	ISY1
ANTXR2	CHM
ANTXR2	NDUFA8
ISY1	C17ORF80
ISY1	HEATR5A
ISY1	RELA
ISY1	ATM
ATF6	C17ORF80
ATF6	RAD52
ATF6	SCAP
C17ORF80	MED16
C17ORF80	REEP5
CCDC23	PLEKHJ1
PLEKHJ1	FBXW11
PLEKHJ1	NFATC2IP
PLEKHJ1	TCEAL2
CHM	FUBP1
GRIP1	RELA
HEATR5A	CREBRF
HEATR5A	LSS
CREBRF	CSRNP2
CREBRF	DGCR8
CREBRF	TIMM44
MED16	SFPQ
NDUFA8	RUVBL2
BRWD3	NUMB
BRWD3	CUL4B
BRWD3	MRFAP1L1
NUMB	NUDT1
NUMB	PRIM1
EXOC5	DCAF16
DCAF16	ABI1
GMNN	NUDT1
NINL	SEC61A2
NINL	PCMT1
SEC61A2	JMJD1C
PRIM1	DAZAP1
DAZAP1	KIF20B
DAZAP1	GEN1
ABCC5	ERI1
ABCC5	RAD54L
ERI1	BCKDHA
ACD	DSN1
ACD	AGAP6
ACD	CCDC130
ACD	PHC1
DSN1	KIAA1305
AIMP1	IQCJ-SCHIP1
AIMP1	MAGEF1
IQCJ-SCHIP1	KIAA1305
ALG5	KIAA1305
ALG5	FLJ35220
KIAA1305	OGG1
KIAA1305	ODF2L
KIAA1305	PDLIM7
KIAA1305	PPM1G
KIAA1305	PVR
AP3D1	RBM12B
AP3D1	LRRN2
AP3D1	STX1B
RBM12B	FLJ35220
RBM12B	NAPG
ASNA1	CCDC130
BCKDHA	CNTNAP3B
BCKDHA	DNAJB12
CNTNAP3B	OGG1
BRI3	C20ORF12
C20ORF12	MAGEF1
C20ORF12	SPIN1
OGG1	MTF1
EML6	SLC30A4
EHMT2	PIGB
PIGB	RNF144A
SLC30A4	MYO9A
SLC30A4	ODF2L
FSTL5	PVR
FSTL5	HTT
PVR	NDRG4
GPR19	PEX13
PEX13	RNF144A
PEX13	NFYA
INSIG2	MYO9A
KLHL8	NPTN
NPTN	SMCHD1
NPTN	LIMK2
MSH2	STK19
STK19	RNF144A
STK19	PDLIM7
NDRG4	BTBD6
SMCHD1	ODF2L
PPM1G	KIAA1549
PTAR1	RAD54L
RAD54L	MPP3
SUSD1	MNT
ANP32E	NSMCE2
NSMCE2	CCDC66
NSMCE2	RBM15
NSMCE2	IGDCC4
NSMCE2	THAP11
NSMCE2	OTUD7B
CCDC66	CSTF1
CLNS1A	PGAM1
AFF3	RBM15
AFF3	MCTS1
AFF3	SMARCA1
EXOC4	PIBF1
EXOC4	PCMTD2
RAB30	HIBCH
MCTS1	KLHL9
PIBF1	MAPK1
HIBCH	PIKFYVE
AHCYL1	NUCB1
AHCYL1	GOLT1B
AHCYL1	TECPR1
DCTN5	RRM2B
DCTN5	PSMD8
RRM2B	CACHD1
RRM2B	GNPAT
RRM2B	C19orf18
DDR1	NFYA
SENP6	RSPRY1
RSPRY1	CAPZB
RSPRY1	RAB10
DCAF7	BTBD7
DCAF7	NOP58
IQGAP1	PHYHIPL
PHYHIPL	PRKRA
NOP58	ATP5G3
HAUS6	GATC
GATC	RABEPK
GATC	SLC35B2
GATC	C3orf58
CCSER1	GEN1
CCSER1	COG2
GEN1	BCL9
CLDN12	RTTN
COG2	FOXP2
COG2	SEH1L
DNAJC15	LRRC7
LRRC7	RNF41
FOXP2	FSTL1
FOXP2	RNF41
EPHA5	SEH1L
RTTN	STT3A
OTUD3	NSA2
NSA2	MTCH2
TBCE	TENM4
ILK	NUP153
ILK	LHX4-AS1
NUP153	PHLPP1
NUP153	C1ORF35
LHX4-AS1	PQBP1
RAB5C	SIRT1
SIRT1	C1ORF35
GOT2	RCC2
RCC2	CAMK2N1
RCC2	JMJD1C
EIF3B	PDE4DIP
PDE4DIP	FAM73A
PDE4DIP	SSH2
PDE4DIP	TAF8
FAM73A	TENM4
FAM73A	KCTD1
FAM73A	TBP
TENM4	SAR1A
CAPZB	SAR1A
CAPZB	KIAA1429
CAPZB	RRP36
AATF	SPECC1
AATF	NAA35
SPECC1	MRPS9
SPECC1	SVIP
ARPC1A	SVIP
SVIP	ERI3
RBM7	ISYNA1
ISYNA1	DONSON
ISYNA1	MRPS9
MRPS9	MAP7D3
MRPS9	FBXO22
BBS7	SEMA6D
BBS7	SUPT7L
SEMA6D	DAXX
KIF20B	SHPRH
CMTM6	LIMK2
LIMK2	SCHIP1
GALT	PRDM8
PRDM8	NAPG
GFPT1	MCM10
MCM10	KIAA1549
MCM10	GFM1
METTL8	RCAN3
RCAN3	BTBD6
RCAN3	ATP9A
PHC1	LASP1
BTBD6	BLOC1S6
BTBD6	GABPB2
SCHIP1	SPTY2D1
SCHIP1	INO80C
ATP6V1C1	PURA
PURA	KIF13A
BRK1	GTPBP1
BRK1	HNRNPH2
BRK1	SHOC2
AP1B1	C15orf38-AP3S2
C15orf38-AP3S2	ERICH1
C15orf38-AP3S2	SLC19A2
ERICH1	PXDN
GPR125	PXDN
GPR125	IDH3B
PXDN	IRS2
PXDN	CYFIP2
IRS2	KLHL29
IRS2	PPM1L
PRDM2	SLC19A2
AAMP	FBXO34
AAMP	COMMD5
AAMP	FAM200B
AAMP	LEO1
AAMP	MID1
FBXO34	PDE1A
ANKRD13C	LYG2
ANKRD13C	NECAP2
ANKRD13C	PHGDH
ANKRD13C	PRC1
LYG2	BMPR2
LYG2	ISCA1
ANKRD44	ARHGEF2
ANKRD44	CCT2
ARHGEF2	CNP
CNP	CD151
CNP	LRRC41
CNP	TAX1BP3
ATF6B	MAPK6
ATF6B	KIF5C
ATF6B	IVNS1ABP
MAPK6	NFASC
ATG16L1	RCBTB2
ATG16L1	FOXP4
ATG16L1	HKIAA0174H1B
RCBTB2	COX7C
RCBTB2	RIC8A
ATP5L2	BBIP1
ATP5L2	CNNM2
BBIP1	COPS2
COPS2	RIC8A
COPS2	MED17
COPS2	MYNN
COPS2	PAXIP1
COPS2	PLAGL2
BMPR2	NUF2
C14ORF1	LDLRAD3
C14ORF1	FOXM1
LDLRAD3	PTBP3
CARKD	PLAGL2
CCDC28B	FAM200B
CCDC28B	NRF1
CCDC28B	PNMA1
FAM200B	CUEDC2
FAM200B	PTBP3
CD320	RIC8A
CD320	KLHDC3
CD320	SCG5
RIC8A	GOLM1
RIC8A	IDS
RIC8A	LRRC41
RIC8A	MED10
RIC8A	NCAPG2
CHTF8	MYNN
CHTF8	EIF1AY
CNNM2	MDM1
CREB3	SEC13
SEC13	HKIAA0174H4E
CUEDC2	HKIAA0174H4E
DCTPP1	SF3A3
SF3A3	NR4A2
DHCR7	NFIC
NFIC	SMARCD3
DNAJB1	MED10
MED10	KBTBD6
MED10	MSANTD4
EAPP	GATAD2B
GATAD2B	FBXO32
GATAD2B	EIF4E2
GATAD2B	HECA
GATAD2B	MPZL1
GATAD2B	PARL
EIF1AY	PTOV1
EIF4E2	PARP11
PARP11	HKIAA0174H1B
PARP11	SLC27A4
FAM172A	KDM2A
FBL	IDS
FOXP4	EXTL2
FOXP4	CAMLG
GDAP2	NRF1
NRF1	NCAPG2
ICE1	PNMA1
INPPL1	MED17
KBTBD6	FSCN1
KLHDC3	KIAA1468
LENG8	KIAA1468
LENG8	RAB3A
KIAA1468	SMARCD3
ISCA1	ANKRD12
MAK16	MSANTD4
NFASC	PHGDH
NCAPG2	NR4A2
PTOV1	TET3
TET3	SMAD4
AMIGO3	GTPBP10
GTPBP10	IRGQ
GTPBP10	RBFOX1
C9ORF72	EFCAB7
EFCAB7	IRGQ
EFCAB7	LZIC
EFCAB7	RAPGEF5
EFCAB7	SLC25A12
CDK11B	RAB3A
CDK11B	RLIM
CYB5R3	SRA1
SRA1	LIN37
IRGQ	SMARCD3
IRGQ	MDP1
IRGQ	MLST8
EIF2AK4	SMARCD3
EMD	GANAB
GANAB	PLOD1
GANAB	FGFR1OP2
EXTL2	GNAZ
FSCN1	CDK10
FSCN1	SENP2
IVNS1ABP	SEMA6A
MDP1	SNX15
POTEE	POTEJ
POTEI	POTEJ
NRBP1	PIK3R3
NRBP1	DYNLL2
MYEF2	NUP205
SFXN5	SDHAF2
SUCO	SDHAF2
SUCO	CDK1
SDHAF2	PELP1
MTX3	ALG11
ALG11	RNASEH2B
ANKRD12	SAP130
ANKRD12	ITGB3BP
SAP130	ARL8A
SAP130	MEIS1
SAP130	DAXX
PCDHGA10	TAF13
CAMLG	PSMB6
CGRRF1	SEMA6A
EFNA5	LONRF1
LONRF1	MDM1
FAM134A	PIGO
PIGO	PAPSS1
PIGO	SLC27A4
GADD45GIP1	PPP2R1B
PPP2R1B	AGPAT6
PPP2R1B	ITM2A
PPP2R1B	NOG
PPP2R1B	TECPR1
PPP2R1B	RBBP5
PPP2R1B	STT3B
KIAA1958	NUP54
NUP54	PMM2
NUP54	PDCD10
NUP54	AP4B1
NEU1	SENP2
SENP2	ATP1B1
SENP2	FKBP2
PMM2	PCGF6
TAF13	SBK1
TAF13	COMMD2
SLC27A4	STX6
RBM5	NPIPA7
COMMD2	PDRG1
COMMD2	MAP4K5
TECPR1	SCAMP1
ATP1B1	NAIP
FGFR1OP2	C1QBP
FGFR1OP2	AXL
FGFR1OP2	ORMDL1
FGFR1OP2	GOLGA7
FGFR1OP2	GPAA1
FGFR1OP2	RNH1
PDRG1	SRF
RNF2	C11orf74
C11orf74	KBTBD3
C11orf74	RNF170
C11orf74	SPAG7
AXL	CHMP1A
CAMK2N1	RNF7
ORMDL1	ATP8B2
GPAA1	NME1-NME2
GPAA1	TBC1D14
ATP8B2	ARL3
COPS7B	GPI
GPI	FKBP2
PCGF6	METTL2A
PCGF6	RGS3
ADD3	TSGA14
TSGA14	FLRT2
TSGA14	SCUBE3
ARL8A	KIAA1524
BLCAP	RDH13
RDH13	FBXO3
RDH13	JPH3
RDH13	GABPB2
RDH13	SRM
BLOC1S6	SHISA5
BUB1B	KCNN3
BUB1B	PAK6
KCNN3	DMXL2
KCNN3	MEIS1
FLRT2	PCNX
CLIC1	GNAQ
GNAQ	PIM2
MRPL50	DFNA5
MRPL50	PCNX
DFNA5	ECI2
DFNA5	NIPSNAP3B
DPM1	FKRP
FKRP	KIAA1524
GABPB2	MXD1
PIM2	SCUBE3
IPO7	MXD1
SHPRH	STARD9
NIPSNAP3B	STARD9
PAK6	ACOT8
SCUBE3	SNTG1
DAXX	CTTNBP2
DAXX	MN1
AGPS	DCTN3
AGPS	ADCY6
DCTN3	FOXM1
DCTN3	PAPOLG
CCDC97	KIAA1328
KIAA1328	BCS1L
RNASEH2B	RGS3
METTL2A	NUPL2
NUPL2	LEPROT
RGS3	CRYBB2
DNAJC10	SERTAD3
DNAJC10	SRCAP
SERTAD3	PGLS
GEMIN6	SRCAP
GEMIN6	CDC25B
CRYBB2	BRCA2
ACOT8	FBXO9
CTTNBP2	NDUFS3
FBXO9	PACS1
NDUFS3	LMO4
NUP205	AGAP10
GPS2	NUSAP1
NUSAP1	AGAP10
NUSAP1	RAD51C
NUSAP1	KIAA0922
AGAP10	ANAPC7
BRCA2	PGLS
BRCA2	FAHD2A
PGLS	RNF149
BCS1L	GNB1
BCS1L	PSME2
PNPLA8	SLC25A32
SLC25A32	RHOQ
SLC25A32	HAX1
KBTBD3	JUP
CCDC7	ECHS1
CCDC7	PTGR1
ECHS1	PDZD8
COQ6	SMURF2
COQ6	CRIM1
SMURF2	PIKFYVE
SMURF2	GLS
CRIM1	KDM3B
PDZD8	COX18
PDZD8	KIF21B
C3ORF75	KDM3B
C3ORF75	ENOX2
ENOX2	SEPHS1
ENOX2	SNX2
JUP	PTGR1
KIF21B	NRXN1
NRXN1	CCDC12
NRXN1	CP110
NRXN1	FEM1B
RNF170	GLS
SAMD1	SNX2
SUPT7L	SPTAN1
AARSD1	GFOD1
AARSD1	DEF8
AARSD1	PLXNA4
AARSD1	POLR3K
AARSD1	SLC25A4
GFOD1	BHLHE22
GFOD1	NOL7
GFOD1	GTPBP3
GFOD1	NPTX1
GFOD1	PPP2R2B
ABL1	PEX11B
PEX11B	HEATR1
ACADM	PLK3
PLK3	GNA13
PLK3	PLEKHG2
PLK3	NAPG
PLK3	SCN3B
PLK3	TANGO6
PIN1	AKT2
PIN1	ABCE1
ATP9A	SLC12A6
BHLHE22	EIF2B2
BHLHE22	RAB12
CD200	FEM1B
CD200	FAM136A
CEP63	PPP2R2B
PPP2R2B	SNRPF
DLGAP1	EEF1E1
DLGAP1	NDUFB5
EEF1E1	SPTAN1
GBAS	NOL7
NOL7	HEATR1
HEATR1	ST6GAL1
KBTBD4	NPTX1
LAMC1	SMG6
LAMC1	PGRMC1
MTA2	SCAI
MTA2	NBPF1
SCAI	NDEL1
SCAI	TAF1A
NAPG	PLAA
NDEL1	LIN7B
NDEL1	FIG4
TAF1A	LRRC45
ABI1	RAD51C
ANKRD46	C18ORF1
ANKRD46	MAEA
C18ORF1	GMEB1
C18ORF1	DNASE1
CACHD1	INADL
CACHD1	PDE10A
CCDC57	MAEA
CDK5R1	P2RX4
P2RX4	DERA
P2RX4	MAP7D1
CHERP	GFM1
CHERP	FAM161B
CTSV	RNF213
RNF213	DARS2
RNF213	LSM2
RNF213	OGFOD1
RNF213	LOXL3
RNF213	RRP1
DENND6A	MIF4GD
MIF4GD	MAP7D1
MIF4GD	LATS1
DERA	PRPF40B
GRPEL2	LPIN1
LPIN1	LASP1
LPIN1	STK38
LPIN1	TANC2
ITFG1	PDE10A
PDE10A	PAK7
PDE10A	PFKL
GMEB1	CENPJ
GMEB1	SMARCB1
MAP7D1	SOX6
POGK	RFC3
RFC3	FBXO42
RFC3	RBBP8
RFC3	LOXL3
LOXL3	DDX47
LOXL3	MAGI2
LOXL3	PPP1CA
C19orf18	PKIG
ACAD10	IFT52
IFT52	DIABLO
IFT52	CXORF23
IFT52	CIPC
IFT52	MTA3
IFT52	NBR1
IFT52	PRKAB2
IFT52	MAPK8
ACBD5	FAM69B
FAM69B	LPAR2
ATP6V1E1	KIAA1704
ATP6V1E1	LAMTOR3
ATP6V1E1	LPAR2
ATP6V1E1	PALMD
KIAA1704	FIG4
KIAA1704	CPT1C
KIAA1704	LIX1L
BICD2	NCKAP1
NCKAP1	DSTN
NCKAP1	PRPSAP1
NCKAP1	CSNK1G3
CPT1C	SH3PXD2A
CPT1C	PRPSAP1
SH3PXD2A	R3HDM4
SH3PXD2A	DDX59
DRAXIN	LPAR2
DRAXIN	LCA5
DRAXIN	RABGGTB
DRAXIN	SMPD1
DSTN	PRKX
FAM214A	SEPN1
SEPN1	DDX59
C6ORF72	LCA5
C6ORF72	ICT1
C6ORF72	AP5Z1
LAMTOR3	CSRNP2
LIX1L	MSH3
CP110	LMO4
PALMD	SRF
PCGF3	CSRNP2
R3HDM4	RNF182
RABGGTB	EIF2S3L
DDX59	PTGR1
ANAPC4	DDX47
ANAPC4	RBM33
DDX47	CRADD
DDX47	KIAA0101
DDX47	KNOP1
CRADD	EFS
CRADD	FGF12
CRADD	HEG1
KIAA0101	MTHFD1
KIAA0101	SGSM2
MTHFD1	PTP4A1
RBM33	PLIN2
RFXANK	SGSM2
ABCE1	CIAO1
ABCE1	MUDENG
ABCE1	SDF4
CIAO1	RALA
ADCY3	ATXN3
ADCY3	SLC4A1AP
ATXN3	MUDENG
MUDENG	ETFDH
APC2	GPR173
GPR173	DENND5B
GPR173	MED31
GPR173	LRIG3
ARF5	SDF4
ARF5	PKIG
ARL4C	MED31
MED31	BCL2L1
BCL2L1	ETFDH
BCL2L1	NBEA
ETFDH	BUD31
BUD31	PSMG3
RALA	DNASE1
CENPJ	LANCL1
POLE	HEG1
ASCC2	GTPBP4
GTPBP4	CIPC
CIPC	NOMO1
CIPC	SLC22A23
CIPC	NOMO2
FAM136A	BTG3
PHACTR3	SPAG7
CASD1	OTUD7B
CHD6	LAMTOR4
LAMTOR4	CSNK1G3
LAMTOR4	THAP11
CSNK1G3	RAD50
KLF7	AIP
KLF7	MAGED1
AIP	AP5Z1
AIP	IMPA1
MRPL30	RAD50
BTG3	EHMT1
EHMT1	RFC1
IMPA1	SH3BP2
IMPA1	SRFBP1
MRPS28	NMD3
LATS1	NCKAP5
LATS1	CIZ1
LATS1	SRRT
ATM	FAM126A
FAM126A	RBM41
REEP5	RNF20
NOMO2	NOMO3
ATP5G1	SRRT
ATP5G1	MED6
ATP5G1	CYB5R4
CIZ1	NMRAL1
NELL2	NMRAL1
EIF2S3L	NKRF
PITPNC1	NKRF
CYB5R4	EPHB2
IP6K1	LRRC45
LRRC45	ASAH1
EIF4G1	ESCO1
ESCO1	ELAVL1
ESCO1	PPP1R3E
ESCO1	MAP1LC3B
PPP1R3E	MAP1LC3B2
PPP1R3E	PDLIM4
PPP1R3E	FANCA
HAT1	RER1
MAP1LC3B2	MED30
ASAH1	PPP1R14B
PPP1R15B	AP3S2
PPP1R15B	GNL3
AP3S2	PUM1
AP3S2	DDHD1
AP3S2	CUL5
AGAP8	FGF12
FGF12	ISG20L2
APOO	GABBR1
GABBR1	GAL3ST4
EFS	ARID3B
EFS	CLSPN
EFS	CLK2
EFS	NELFA
DDX56	B4GALNT4
DDX56	NBPF11
DDX56	NCBP1
DDX56	RANGAP1
B4GALNT4	HAX1
B4GALNT4	BNIP3
GAL3ST4	CLSPN
RRP8	PPP1R14B
PPP1R14B	PACS2
HAX1	PPARA
HAX1	MYO5A
ACVR2B	LANCL1
LANCL1	PSMD13
APOOL	PACS2
PACS2	C3ORF38
PACS2	METTL5
PACS2	NIP7
MTHFD2	MICAL1
MICAL1	KLHDC8A
PCNA	PLAUR
PLAUR	MCM2
STX18	HSPBP1
AGFG1	COA6
AGFG1	GAB1
CDC42EP4	DDHD2
DDHD2	SALL3
MCM2	ACYP1
MCM2	RRP7A
FAM131A	METTL3
METTL3	HSPBP1
METTL3	PRELID1
HSPB1	PRELID1
PRELID1	OSBPL8
PRELID1	KDM6B
PRELID1	MRPL15
C3orf58	FLCN
C3orf58	SAP30L
PPP4R1	SAP30L
SLC35F5	CENPV
CENPV	MLEC
CALR	MDN1
MDN1	C6ORF204
PMPCB	OSBPL8
OSBPL8	C19ORF12
RNF149	C20ORF11
RNF149	PLCXD1
BLM	FAM20C
DTX3	PSPH
PSPH	EFNB1
PSPH	ERGIC1
EFNB1	TCF20
C15ORF63	KIAA1841
C15ORF63	MFAP4
ACYP1	NSBP1
MFAP4	COMT
ERGIC1	PAK1
ERGIC1	SPG7
RFFL	SOX2
GAREML	TFRC
TFRC	DUSP12
DUSP12	NIPA2
DUSP12	GMFB
EIF5AL1	MAP3K7
ERCC8	PPARA
PPARA	POLK
POLK	HOOK3
HOOK3	KLHDC2
CDC123	PCMTD2
PCMTD2	CDO1
DDX52	H2AFY2
H2AFY2	GSK3B
ANGEL2	ASB8
ANGEL2	FGFR1
POLDIP3	DNAJC3
BARD1	DLL1
BARD1	MRPS30
COMMD10	C20ORF11
COMMD10	RMND5A
DNAJC3	MCEE
MCEE	SLX1B
MCM9	SLC7A6OS
SLC7A6OS	MRPS30
PGM3	STX16
PGM3	PDE4D
STX16	CDC42SE1
CDC42SE1	ATN1
TIMM50	CENPL
CENPL	PDPK1
CENPL	LONP1
CENPL	GAN
GSK3B	LRP6
C6ORF204	CLK2
CLK2	KIAA2018
CLK2	MCM4
KIAA2018	MTCL1
LONP2	NSBP1
NSBP1	C19ORF48
NSBP1	MCM4
NSBP1	REC8
ACYP2	ASH1L
ACYP2	ERC1
ACYP2	C16ORF68
ASH1L	ING3
ASH1L	LASS6
APTX	NHLRC3
APTX	MAVS
NHLRC3	SLX1A
ING3	PRADC1
BNIP1	DONSON
C2orf49	FBXO22
C2orf49	CNDP2
FBXO22	FAM135A
FBXO22	LIN52
LASS6	MBD3
LASS6	NOC3L
CHSY1	PRR3
PRR3	PDE4D
CRTAP	AMD1
AMD1	SSX2IP
DMRTA2	SGK494
DMRTA2	LONP1
SGK494	AK4
SGK494	GIT1
LIN52	MAVS
ICK	MAP7D3
SLX1A	MRPS6
SLX1A	SDC2
AKAP11	PPP4R2
AKAP11	HMGXB4
AKAP11	MRPL21
PPP4R2	CISD2
PPP4R2	LARP7
SSX2IP	ATN1
SSX2IP	TEX9
SSX2IP	JPH1
APITD1-CORT	ENTPD5
APITD1-CORT	NOTCH2
APITD1-CORT	PDE12
ENTPD5	SUV39H2
ENTPD5	PATZ1
ATN1	SP1
ATN1	GK5
SP1	FAM168A
SP1	PDE12
CISD2	NOTCH2
CISD2	GLOD4
CRY1	TEX9
DHTKD1	OSBPL6
DHTKD1	FBXO46
OSBPL6	RABL4
OSBPL6	PLP2
SUV39H2	SENP1
SUV39H2	RABL4
GLOD4	MTCH2
GLOD4	DBF4
HSDL2	PIGN
PIGN	PELP1
PIGN	PLP2
IDI2	PLP2
PRADC1	PELP1
