DNAJB12	IFI44L
KDM2A	STK33
GFAP	FAM13C
ARHGEF7	SRSF11
RGS2	RAB34
RGS2	PRPF4
RAB34	MGRN1
RAB34	BCL2L11
PKD1	GK
PKD1	MBD2
GK	GLT8D1
GK	CAMK2A
GK	MPPE1
PAIP2B	P4HTM
ATP6V1C1	SNX19
ALKBH1	GIGYF1
RABEP1	SLK
RABEP1	DUSP18
SLK	AQR
SLK	KIAA0892
NRM	NRXN1
NRM	ARL5A
NRXN1	ATP13A3
ATP13A3	C1ORF96
ATP13A3	RBP1
ATP13A3	SLC41A3
ATP13A3	HDAC6
TFIP11	SDHA
SDHA	CDC16
SDHA	CHRDL1
SDHA	PET117
SDHA	SGTB
KIAA1586	STMN4
PET117	TBL1XR1
SLC41A3	GOSR2
C1ORF96	RNF160
C1ORF96	MED15
RNF160	NR2C2
RNF160	C11ORF30
GOSR2	DNAH14
RBP1	DYRK1A
SGTB	CGGBP1
HDAC6	ABR
HDAC6	PRH1
PRH1	GRIA1
MRPS6	RAD54L
AQR	SUMO3
POU6F1	KIAA0368
KIAA0368	KIAA0892
KIAA0892	C18ORF1
KIAA0892	PAAF1
FEZF2	C16ORF13
C16ORF13	PRDM16
EXOSC4	BAI2
BAI2	SLC6A15
BAI2	EFEMP2
RNF126	SLC6A15
SLC6A15	SPC25
SLC6A15	TCF4
SPC25	KCTD20
SPC25	ATL2
SPC25	RAP1A
SPC25	KIF20B
MAD2L2	SYT1
MAD2L2	LRP6
SYT1	MED31
MED31	METT5D1
MED31	HSCB
DNAJC17	SMURF1
SMURF1	IGSF3
GNL1	KIAA1161
GNL1	IGSF3
KIAA1161	ADAM22
KIAA1161	SNRNP25
CCDC77	NRCAM
CCDC77	THSD7A
NRCAM	POLR3A
NRCAM	PPP1R14B
PPP1R14B	KCNQ2
NLGN2	DERL3
OTUD6B	ANO5
OTUD6B	GNG10
ANO5	CAMK2A
C14ORF142	KCTD20
KCTD20	HINT2
GUF1	FDX1
GUF1	BLOC1S3
FDX1	CPD
CHD2	ITFG2
